,BVP,ACC,EDA,HR,EM1,EM2
449,-0.94,53.0,0.096077,90.2,2,-2
450,12.2,56.0,0.093515,90.5,2,-2
451,-1.79,59.0,0.096077,90.8,2,-2
452,18.54,60.0,0.096077,91.1,2,-2
453,-38.64,60.0,0.097358,91.38,2,-2
454,-17.5,59.0,0.096077,91.6,2,-2
455,12.88,59.0,0.097358,91.8,2,-2
456,11.96,59.0,0.094796,91.98,2,-2
457,-0.2,60.0,0.097358,92.17,2,-2
458,16.09,60.0,0.097358,92.33,2,-2
459,20.81,60.0,0.097358,92.48,2,-2
460,-13.56,55.0,0.097358,92.58,2,-2
461,22.51,51.0,0.097358,92.67,2,-2
462,-43.56,45.0,0.097358,92.72,2,-2
463,-0.58,28.0,0.097358,92.75,2,-2
464,-8.15,44.0,0.09992000000000001,92.82,2,-2
465,-62.3,58.0,0.09992000000000001,92.85,2,-2
466,55.35,36.0,0.09992000000000001,92.9,2,-2
467,75.65,35.0,0.101201,93.07,2,-2
468,-50.47,35.0,0.101201,93.28,2,-2
469,9.96,36.0,0.101201,93.45,2,-2
470,-35.71,9.0,0.09992000000000001,93.62,2,-2
471,-86.39,10.0,0.09992000000000001,93.8,2,-2
472,72.61,10.0,0.096077,93.88,2,-2
473,40.01,11.0,0.098639,93.97,2,-2
474,-38.77,11.0,0.09992000000000001,94.02,2,-2
475,16.14,11.0,0.098639,94.0,2,-2
476,-35.25,10.0,0.098639,93.9,2,-2
477,12.05,11.0,0.09992000000000001,93.77,2,-2
478,6.16,13.0,0.09992000000000001,93.62,2,-2
479,29.53,9.0,0.097358,93.5,2,-2
480,-48.02,9.0,0.09992000000000001,93.4,2,-2
481,13.5,10.0,0.09992000000000001,93.3,2,-2
482,34.5,9.0,0.098639,93.18,2,-2
483,-15.78,9.0,0.096077,93.03,2,-2
484,-33.42,9.0,0.09992000000000001,92.82,2,-2
485,13.53,9.0,0.09992000000000001,92.58,2,-2
486,-5.63,9.0,0.09992000000000001,92.32,2,-2
487,17.28,4.0,0.098639,91.88,2,-2
488,78.09,43.0,0.09992000000000001,91.42,2,-2
489,-76.3,22.0,0.101201,91.02,2,-2
490,-26.45,33.0,0.098639,90.6,2,-2
491,4.96,46.0,0.09992000000000001,90.17,2,-2
492,63.15,53.0,0.09992000000000001,89.78,2,-2
493,-28.15,54.0,0.097358,89.42,2,-2
494,-31.26,54.0,0.094796,89.08,2,-2
495,35.88,51.0,0.098639,88.77,2,-2
496,2.68,54.0,0.09992000000000001,88.48,2,-2
497,8.54,58.0,0.098639,88.23,2,-2
498,12.52,54.0,0.09992000000000001,87.98,2,-2
499,7.75,55.0,0.098639,87.73,2,-2
500,-28.64,55.0,0.09992000000000001,87.53,2,-2
